TERMZONE,Country
773,Algeria
ONNET,United Kingdom
503,Angola
2186,Antigua and Barbuda
206,Argentina
201,Armenia
402,Belarus
777,Belgium
2339,Belize
231,Benin
874,Bhutan
306,Bolivia
782,Bosnia and Herzegovina
202,Bots
315,Netherlands Antilles
327,New Zealand
2329,Nicaragua
677,Niger
875,Slovakia
2328,Slovenia
603,Solomon Islands
680,Somalia
796,South Africa
706,South Korea
701,South Sudan
2357,Spain 
674,Sri Lanka
289,Uganda
204,Ukraine
774,United Arab Emirates
D2B,SYSTEM
772,Uruguay
316,Uzbekistan
2285,Zambia
757,Zimbabwe
670,Yemen
561,Philippines
791,Poland
373,Portugal
2176,Ecuador
676,Egypt
2150,El Salvador
335,Equatorial Guinea
760,Eritrea
223,Estonia
2093,Ethiopia
703,Cambodia
372,Cameroon
767,Canada
2220,Cape Verde
2067,Central African Republic
220,Chad
2341,Chile
2433,China
2232,Colombia
2100,Comoros
304,Congo Democratic Republic of the
353,Costa Rica
2005,Cote d'Ivoire
2352,Croatia
2327,Cuba
2068,Curacao
2405,Cyprus
2032,Czech Republic
2361,Gabon
326,"Gambia, The"
2182,Georgia
312,Germany
2079,Ghana
2299,Greece
361,Grenada
2454,Guatemala
2286,Guinea
793,Guinea-Bissau
329,Guyana
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
